city,city_slug,profession,prof_slug,category,pain_point,business_loss
Banda Aceh,banda-aceh,Frozen Food,frozen-food,kuliner,biaya listrik freezer mahal tidak terhitung harga,bisnis rugi karena beban operasional listrik
Mamberamo Tengah,mamberamo-tengah,Basmi Hama,basmi-hama,umum,garansi hama tidak kembali sulit dibuktikan,harus kunjungan ulang gratis yang merugikan
Tapanuli Selatan,tapanuli-selatan,UI/UX Designer,ui/ux-designer,kreatif,dokumentasi pembayaran startup sering tidak terorganisir,sulit melakukan audit keuangan pribadi di akhir tahun
Prabumulih,prabumulih,Bengkel Motor,bengkel-motor,retail,stok sparepart keluar tidak tercatat di nota,modal habis untuk stok tapi uang tidak kembali
Aceh Tamiang,aceh-tamiang,Cleaning Service,cleaning-service,umum,biaya pembersih kimia khusus tidak tercatat invoice,modal habis untuk obat pembersih mahal
Timor Tengah Utara,timor-tengah-utara,Toko Pancing,toko-pancing,retail,sulit kelola retur pelanggan ke distributor,modal tertahan di barang rusak tidak terjual
Dogiyai,dogiyai,Desainer Grafis,desainer-grafis,kreatif,klien menunda pembayaran termin kedua hingga berbulan-bulan,sulit membayar biaya langganan software desain tepat waktu
Parigi Moutong,parigi-moutong,Jasa Jahit,jasa-jahit,umum,klien tidak ambil baju selesai berbulan-bulan,modal kain dan tenaga tertahan di barang
Aceh Besar,aceh-besar,Event Organizer,event-organizer,jasa,uang muka klien habis untuk operasional awal,kesulitan melunasi vendor di akhir acara
Tuban,tuban,Blogger,blogger,kreatif,pembayaran agency sering melewati jatuh tempo 30 hari,perputaran uang untuk operasional website terganggu
Bukittinggi,bukittinggi,Ahli Plumbing,ahli-plumbing,konstruksi,biaya material kecil sering lupa dimasukkan ke nota,akumulasi kerugian material merusak profit bulanan
Ogan Ilir,ogan-ilir,Tukang Listrik,tukang-listrik,konstruksi,sulit memberikan bukti pembayaran formal untuk klaim kantor,klien perusahaan besar enggan memakai jasa kembali
Bondowoso,bondowoso,Studio Foto,studio-foto,kreatif,biaya overtime studio sering lupa dimasukkan,listrik membengkak tanpa tambahan pendapatan
Gayo Lues,gayo-lues,Jasa Sumur Bor,jasa-sumur-bor,konstruksi,kedalaman sumur meleset dari estimasi awal di invoice,biaya tenaga kerja membengkak tanpa tambahan pendapatan
Aceh Barat,aceh-barat,Toko Helm,toko-helm,retail,stok gudang tidak sesuai nota penjualan,risiko kehilangan barang akibat kelalaian
Belitung Timur,belitung-timur,Animator 3D,animator-3d,kreatif,biaya lisensi asset sering tidak tercover di invoice awal,keuntungan bersih menipis karena pengeluaran tak terduga
Pacitan,pacitan,Akuntan Publik,akuntan-publik,jasa,pengarsipan bukti bayar klien berantakan di kantor,sulit melakukan audit internal performa bisnis
Kotawaringin Timur,kotawaringin-timur,Personal Trainer,personal-trainer,jasa,klien membatalkan sesi mendadak tanpa penalti,kehilangan potensi pendapatan dari slot waktu kosong
Pandeglang,pandeglang,Pindahan Rumah,pindahan-rumah,umum,barang lecet di jalan tidak tercover nota,tuntutan ganti rugi klien melebihi biaya jasa
Luwu Timur,luwu-timur,Toko Oleh-oleh,toko-oleh-oleh,retail,sulit buat invoice rombongan bus pariwisata,transaksi lama membuat pelanggan tidak nyaman
Teluk Wondama,teluk-wondama,Akuntan Publik,akuntan-publik,jasa,pengarsipan bukti bayar klien berantakan di kantor,sulit melakukan audit internal performa bisnis
Lembata,lembata,Ahli Konstruksi Baja,ahli-konstruksi-baja,konstruksi,kenaikan harga besi mendadak sebelum invoice cair,proyek rugi karena harga beli lebih tinggi dari nota
Surabaya,surabaya,Pet Shop,pet-shop,retail,biaya titip hewan tidak dibayar penuh saat jemput,menanggung biaya makan tanpa bayaran pemilik
